file_name,invoice_number,line_item_id,description,quantity,unit_price,amount,subtotal,discount,taxes,total_amount,corrected_total_amount,saving_loss,invoice_label,label
1.json,4Y1M7d-017,1,Heavy school available,1.0,45.84,137.52,436.97,0.0,0.0,436.97,436.97,0.0,correct,correct
1.json,4Y1M7d-017,2,Statement for,1.0,43.85,43.85,436.97,0.0,0.0,436.97,436.97,0.0,correct,correct
1.json,4Y1M7d-017,3,Run sign war follow,1.0,33.18,132.72,436.97,0.0,0.0,436.97,436.97,0.0,correct,correct
1.json,4Y1M7d-017,4,When region seek,1.0,26.29,105.16,436.97,0.0,0.0,436.97,436.97,0.0,correct,correct
11.json,4Y5M8d-964,5,,6.0,33.02,198.12,288.22,0.0,0.0,288.22,288.22,0.0,correct,correct
11.json,4Y5M8d-964,6,,1.0,90.1,90.1,288.22,0.0,0.0,288.22,288.22,0.0,correct,correct
12.json,6y8Mod-837,7,Beautiful break unit,2.0,57.28,114.56,0.0,0.0,0.0,0.0,0.0,0.0,correct,correct
12.json,6y8Mod-837,8,That class,4.0,6.45,25.8,0.0,0.0,0.0,0.0,0.0,0.0,correct,correct
13.json,INV/18-92/169,9,,4.0,93.93,375.72,963.47,0.0,0.0,963.47,963.47,0.0,correct,correct
13.json,INV/18-92/169,10,,5.0,58.23,291.15,963.47,0.0,0.0,963.47,963.47,0.0,correct,correct
13.json,INV/18-92/169,11,,4.0,36.62,146.48,963.47,0.0,0.0,963.47,963.47,0.0,correct,correct
13.json,INV/18-92/169,12,,3.0,39.51,118.53,963.47,0.0,0.0,963.47,963.47,0.0,correct,correct
15.json,5Y9M9d-093,13,,1.0,57.21,57.21,1108.94,0.0,0.0,1108.94,1108.94,0.0,correct,correct
15.json,5Y9M9d-093,14,,5.0,84.19,420.95,1108.94,0.0,0.0,1108.94,1108.94,0.0,correct,correct
15.json,5Y9M9d-093,15,,6.0,12.83,76.98,1108.94,0.0,0.0,1108.94,1108.94,0.0,correct,correct
15.json,5Y9M9d-093,16,,2.0,76.3,152.6,1108.94,0.0,0.0,1108.94,1108.94,0.0,correct,correct
15.json,5Y9M9d-093,17,,5.0,80.24,401.2,1108.94,0.0,0.0,1108.94,1108.94,0.0,correct,correct
16.json,INV70773681,18,,4.0,91.48,365.92,796.45,16.49,51.47,826.26,831.43,5.169999999999959,not_correct,not_correct
16.json,INV70773681,19,,6.0,35.18,211.08,796.45,16.49,51.47,826.26,831.43,5.169999999999959,not_correct,not_correct
16.json,INV70773681,20,,4.0,48.5,194.0,796.45,16.49,51.47,826.26,831.43,5.169999999999959,not_correct,not_correct
16.json,INV70773681,21,,5.0,5.09,25.45,796.45,16.49,51.47,826.26,831.43,5.169999999999959,not_correct,not_correct
17.json,INV94276954,22,,6.0,52.98,317.88,798.47,24.51,42.39,0.0,816.35,816.35,not_correct,not_correct
17.json,INV94276954,23,,3.0,96.35,289.05,798.47,24.51,42.39,0.0,816.35,816.35,not_correct,not_correct
17.json,INV94276954,24,,1.0,60.89,60.89,798.47,24.51,42.39,0.0,816.35,816.35,not_correct,not_correct
17.json,INV94276954,25,,5.0,26.13,130.65,798.47,24.51,42.39,0.0,816.35,816.35,not_correct,not_correct
18.json,,26,,6.0,63.13,378.78,523.96,10.69,19.75,533.02,533.02,0.0,correct,correct
18.json,,27,,2.0,72.59,145.18,523.96,10.69,19.75,533.02,533.02,0.0,correct,correct
20.json,3389-251,28,,6.0,12.32,73.92,819.55,24.42,50.04,845.17,845.17,0.0,correct,correct
20.json,3389-251,29,,2.0,44.42,88.84,819.55,24.42,50.04,845.17,845.17,0.0,correct,correct
20.json,3389-251,30,,3.0,84.03,252.09,819.55,24.42,50.04,845.17,845.17,0.0,correct,correct
20.json,3389-251,31,,6.0,67.45,404.7,819.55,24.42,50.04,845.17,845.17,0.0,correct,correct
21.json,5549-446,32,,2.0,48.35,96.7,160.52,0.0,0.0,160.52,160.52,0.0,correct,correct
21.json,5549-446,33,,2.0,31.91,63.82,160.52,0.0,0.0,160.52,160.52,0.0,correct,correct
22.json,INV05374322,34,,4.0,49.72,198.88,652.75,0.0,29.97,682.72,682.72,0.0,correct,correct
22.json,INV05374322,35,,3.0,96.69,290.07,652.75,0.0,29.97,682.72,682.72,0.0,correct,correct
22.json,INV05374322,36,,6.0,27.3,163.8,652.75,0.0,29.97,682.72,682.72,0.0,correct,correct
18.json,,37,,6.0,38.14,228.84,523.96,10.69,19.75,533.02,533.02,0.0,correct,correct
18.json,,38,,2.0,41.85,83.7,523.96,10.69,19.75,533.02,533.02,0.0,correct,correct
18.json,,39,,2.0,38.24,76.48,523.96,10.69,19.75,533.02,533.02,0.0,correct,correct
18.json,,40,,6.0,88.7,532.2,523.96,10.69,19.75,533.02,533.02,0.0,correct,correct
18.json,,41,,2.0,8.45,16.9,523.96,10.69,19.75,533.02,533.02,0.0,correct,correct
24.json,0551-467,42,,2.0,78.9,157.8,826.51,0.0,28.65,834.58,855.16,20.579999999999927,not_correct,not_correct
24.json,0551-467,43,,5.0,95.91,479.55,826.51,0.0,28.65,834.58,855.16,20.579999999999927,not_correct,not_correct
24.json,0551-467,44,,4.0,29.74,118.96,826.51,0.0,28.65,834.58,855.16,20.579999999999927,not_correct,not_correct
24.json,0551-467,45,,6.0,11.7,70.2,826.51,0.0,28.65,834.58,855.16,20.579999999999927,not_correct,not_correct
29.json,0612-094,46,,5.0,76.82,384.1,424.6,0.0,21.97,446.57,446.57,0.0,correct,correct
29.json,0612-094,47,,1.0,40.5,40.5,424.6,0.0,21.97,446.57,446.57,0.0,correct,correct
31.json,9904-224,48,,5.0,86.52,432.6,637.04,13.84,0.0,623.2,623.2,0.0,correct,correct
31.json,9904-224,49,,3.0,44.98,134.94,637.04,13.84,0.0,623.2,623.2,0.0,correct,correct
31.json,9904-224,50,,1.0,26.3,26.3,637.04,13.84,0.0,623.2,623.2,0.0,correct,correct
31.json,9904-224,51,,1.0,43.98,43.98,637.04,13.84,0.0,623.2,623.2,0.0,correct,correct
33.json,9067-093,52,,1.0,29.28,29.28,979.2,0.0,0.0,1019.01,979.2,0.0,not_correct,not_correct
33.json,9067-093,53,,6.0,87.59,525.54,979.2,0.0,0.0,1019.01,979.2,0.0,not_correct,not_correct
33.json,9067-093,54,,6.0,12.87,77.22,979.2,0.0,0.0,1019.01,979.2,0.0,not_correct,not_correct
33.json,9067-093,55,,6.0,15.32,91.92,979.2,0.0,0.0,1019.01,979.2,0.0,not_correct,not_correct
33.json,9067-093,56,,4.0,63.81,255.24,979.2,0.0,0.0,1019.01,979.2,0.0,not_correct,not_correct
18.json,,57,,3.0,26.82,80.46,523.96,10.69,19.75,533.02,533.02,0.0,correct,correct
18.json,,58,,6.0,91.23,547.38,523.96,10.69,19.75,533.02,533.02,0.0,correct,correct
18.json,,59,,6.0,30.5,183.0,523.96,10.69,19.75,533.02,533.02,0.0,correct,correct
18.json,,60,,1.0,33.59,33.59,523.96,10.69,19.75,533.02,533.02,0.0,correct,correct
36.json,INV/67-71/094,61,,2.0,98.44,196.88,802.23,14.6,55.17,842.8,842.8,0.0,correct,correct
36.json,INV/67-71/094,62,,1.0,57.9,57.9,802.23,14.6,55.17,842.8,842.8,0.0,correct,correct
36.json,INV/67-71/094,63,,4.0,49.55,198.2,802.23,14.6,55.17,842.8,842.8,0.0,correct,correct
36.json,INV/67-71/094,64,,5.0,69.85,349.25,802.23,14.6,55.17,842.8,842.8,0.0,correct,correct
38.json,5827-575,65,,5.0,80.16,400.8,464.25,0.0,0.0,464.25,464.25,0.0,correct,correct
38.json,5827-575,66,,1.0,63.45,63.45,464.25,0.0,0.0,464.25,464.25,0.0,correct,correct
39.json,INV/55-61/025,67,,4.0,9.25,37.0,55.63,0.0,3.89,59.52,59.52,0.0,correct,correct
39.json,INV/55-61/025,68,,3.0,6.21,18.63,55.63,0.0,3.89,59.52,59.52,0.0,correct,correct
42.json,INV48337135,69,,2.0,95.98,191.96,396.23,0.0,19.43,415.66,415.66,0.0,correct,correct
42.json,INV48337135,70,,3.0,68.09,204.27,396.23,0.0,19.43,415.66,415.66,0.0,correct,correct
43.json,2Y2M7d-846,71,,5.0,8.4,42.0,257.76,0.0,0.0,266.63,257.76,0.0,not_correct,not_correct
43.json,2Y2M7d-846,72,,3.0,25.62,76.86,257.76,0.0,0.0,266.63,257.76,0.0,not_correct,not_correct
